,gamma_2.5,gamma_2.5,gamma_2.5,gamma_3,gamma_3,gamma_3,gamma_4,gamma_4,gamma_4,ER_2.5,ER_2.5,ER_2.5,ER_5,ER_5,ER_5,ER_10,ER_10,ER_10
,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution
2019-08-16,795,795,795,713,713,712,553,554,569,913,910,913,993,993,993,1000,1000,1000
2019-08-17,795,795,795,713,713,712,553,555,569,913,910,913,993,993,993,1000,1000,1000
2019-08-18,795,795,795,713,713,712,553,556,569,913,910,913,993,993,993,1000,1000,1000
2019-08-19,795,795,795,713,713,712,555,558,569,913,910,913,993,993,993,1000,1000,1000
2019-08-20,795,795,795,713,713,712,556,558,569,913,910,913,993,993,993,1000,1000,1000
2019-08-21,795,795,795,713,713,712,556,558,569,913,910,913,993,993,993,1000,1000,1000
2019-08-22,795,795,795,713,713,712,556,558,569,913,910,913,993,993,993,1000,1000,1000
2019-08-23,795,795,795,713,713,712,557,558,569,913,910,913,993,993,993,1000,1000,1000
2019-08-24,795,795,795,713,713,712,557,558,569,913,910,913,993,993,993,1000,1000,1000
2019-08-25,795,795,795,713,713,712,557,559,569,913,910,913,993,993,993,1000,1000,1000
2019-08-26,795,795,795,713,713,712,558,559,569,913,910,913,993,993,993,1000,1000,1000
2019-08-27,795,795,795,713,713,712,558,559,569,913,910,913,993,993,993,1000,1000,1000
2019-08-28,795,795,795,713,713,712,558,560,569,913,910,913,993,993,993,1000,1000,1000
2019-08-29,795,795,795,713,713,712,558,560,569,913,910,913,993,993,993,1000,1000,1000
2019-08-30,795,795,795,713,713,712,558,560,569,913,910,913,993,993,993,1000,1000,1000
2019-08-31,795,795,795,713,713,712,558,561,569,913,910,913,993,993,993,1000,1000,1000
2019-09-01,795,795,795,713,713,712,558,561,569,913,910,913,993,993,993,1000,1000,1000
